idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label,sweep_source
25,0.2568796830207915,0.032520625968068,0.3091674188916483,0.1341054621057322,0.0301508033219041,0.2371760066918558,38.36805923580943,28.8438482457253,4.182461883247001,4.182461883247001,True,57.048937659499664,7.349907560617912,0.0966369408228829,0.002603497081825,0.0003978351878534,-0.0029513345058442,-1,,0,biogas_training_data.csv
26,0.5424724345919466,0.0488634612192781,0.1288984714862395,0.2147086751129831,0.0075535683396115,0.057503389249941,36.30472212962378,40.59995429664102,2.692544975227966,2.692544975227966,True,40.62465552655112,7.384678450443316,0.0847915612681527,0.0023324755584839,0.0007573592822509,-0.0020746188008403,-1,,0,biogas_training_data.csv
27,0.4589334989476725,0.0811275169480166,0.0029730665099121,0.2885626724230551,0.01035064633922,0.1580525988321235,37.694366400011816,32.14317602631984,3.34983136422484,3.34983136422484,True,51.0695420602105,7.408443292437381,0.1398136057584549,0.003130585335533,0.0014762649613259,-0.0018315012399592,-1,,0,biogas_training_data.csv
28,0.2375156747255759,0.0234240757296873,0.256060620180671,0.3838375077437018,0.0008888177649025,0.0982733038554613,36.18414321490828,22.158003922504488,5.604288929080082,5.604288929080082,True,79.29157761113213,7.331569895327049,0.1403072665763644,0.0022015405295751,0.0002138118534848,-0.0026411919573866,-1,,0,biogas_training_data.csv
29,0.3905337939563246,0.0022102312561992,0.1240051319005,0.0453558098003368,0.3991577117389097,0.0387373213477296,25.61635669135879,27.468695569294496,4.35822751487708,4.35822751487708,True,48.898514590946434,7.194394198562756,0.1001885201944496,0.0005644004417183,-6.824538412237751e-05,-0.0043740353713549,-1,,0,biogas_training_data.csv
30,0.0409909234525234,0.4734968571607669,0.0311191311987999,0.4323832668102714,0.0043801316444375,0.0176296897332008,29.291693456390583,26.341145748985447,5.624192447238677,5.624192447238677,True,81.845468822215,7.23963964048609,0.1129332249770263,0.0009047378006643,-0.000234683300403,-0.00362791579513,-1,,0,biogas_training_data.csv
31,0.3697990293330272,0.2442822482617919,0.1066852933014473,0.1133619046650554,0.1569231303047465,0.0089483941339317,42.06806146536332,19.35757943461363,6.47233101586556,6.47233101586556,True,71.24557490815596,7.27751840582008,0.0611475337839612,0.0019296308748272,-1.2325650381927631e-05,-0.0045025295371997,-1,,0,biogas_training_data.csv
32,0.4293873124589671,0.042159743434832,0.0530120694190747,0.3624508128446918,0.1125030544657769,0.0004870073766572,26.16605483378132,21.255355680879862,5.400221410471674,5.400221410471674,True,67.5947306867286,7.237973368849973,0.2121514504751427,0.0008222859010485,-0.000871867934801,-0.0030552119375617,-1,,0,biogas_training_data.csv
33,0.1651050125615088,0.412064805929098,0.0587998051717357,0.1546319821591983,0.1007226088640851,0.1086757853143737,30.871875155333672,36.476660589075806,3.730252536105587,3.730252536105587,True,52.16019596576002,7.266411506770717,0.0734350455025457,0.0010085123205421,8.498922432917509e-05,-0.0036258286556145,-1,,0,biogas_training_data.csv
34,0.1676245103406933,0.1596276106954565,0.1198163051040759,0.1721347228919773,0.0810187421919669,0.2997781087758299,36.140643046825566,41.35592836425654,2.945022343387347,2.945022343387347,True,47.03711577952066,7.392415030949577,0.1198011564535761,0.0027163998352594,0.0015221119771114,-0.0018974029302657,-1,,0,biogas_training_data.csv
35,0.0624306058442378,0.1513679040965132,0.0999557115645902,0.1167263952114018,0.0133230693264751,0.5561963139567817,38.28627080654775,26.255474457602823,4.439344882002848,4.439344882002848,True,62.61853775717492,7.382168990837198,0.2457199184171016,0.0037570398046218,0.0026841537856286,-0.0022983691089367,-1,,0,biogas_training_data.csv
36,0.0581660667895793,0.2110896164996566,0.1319222419578861,0.1276577349601482,0.1081524904859915,0.363011849306738,41.2804076933207,16.678916796308158,7.640996648085088,7.640996648085088,True,88.77988901858805,7.300977015223769,0.1223932490791993,0.0030775771306914,-0.0002326935692374,-0.0034344623214736,-1,,0,biogas_training_data.csv
37,0.1596166417597255,0.2012417080719807,0.2471748008697423,0.0218160162779302,0.2474969259236945,0.1226539070969266,39.447187011929,28.475089210055494,4.819582306414324,4.819582306414324,True,60.12369821464262,7.283635101054136,0.0544674697955587,0.0016744388241161,0.0001073954433579,-0.0046826020178733,-1,,0,biogas_training_data.csv
38,0.3064959394069985,0.0268344081167304,0.1725768786569684,0.1565035515408152,0.0665341927757799,0.2710550295027075,28.225435580672038,30.04179100413454,3.792687568598657,3.792687568598657,True,50.57987808350709,7.285780040001428,0.1787324432725097,0.0012329304137514,0.0002573054304215,-0.0028298395424797,-1,,0,biogas_training_data.csv
39,0.0604031555408275,0.4914642489822768,0.0341170056339683,0.3392379712741789,0.0004889442561145,0.0742886743126337,28.046242054263367,37.85281500310944,3.825185011214788,3.825185011214788,True,59.64567445904464,7.266677783710975,0.09413402316532,0.0008756748556384,4.224489327425381e-05,-0.0030768596071687,-1,,0,biogas_training_data.csv
40,0.3475518268021256,0.1886014502406061,0.0343952136067165,0.2729533242101234,0.079055993856263,0.0774421912841649,33.92312551148061,25.2408490438593,4.720008699569067,4.720008699569067,True,63.47270815714855,7.310842920228482,0.1167432100460425,0.0016679943638937,0.0001185387963248,-0.0029714326805836,-1,,0,biogas_training_data.csv
41,0.1475647433716968,0.197886784727392,0.2495913297959174,0.2352000322142738,0.0359380449726719,0.1338190649180478,31.03024178295753,35.21130372475554,3.802588555566648,3.802588555566648,True,56.05507262696572,7.288821265725325,0.0927502992835295,0.0012213460842199,0.0001624023069702,-0.0031083123489719,-1,,0,biogas_training_data.csv
42,0.1658684423087513,0.1187546373931862,0.0102869126312314,0.5529546067793102,0.0022001753011264,0.1499352255863943,27.360118042410303,48.47590658198058,2.507516990427189,2.507516990427189,True,48.56885280863001,7.368926596746548,0.2810349979482079,0.0015435139996575,0.0052749978962443,-0.0011037170948199,-1,,0,biogas_training_data.csv
43,0.398286800207671,0.0413781667441856,0.1607292119418945,0.1652155614275521,0.0750426022720128,0.1593476574066838,43.17161381415214,37.98828535242998,2.9901592076197816,2.9901592076197816,True,45.53934842704266,7.444836783153188,0.082218826964665,0.0043259617620799,0.0009686348678878,-0.0019823453628176,-1,,0,biogas_training_data.csv
44,0.4191736030199915,0.1946287739048168,0.0177805950889903,0.0432827768296516,0.2941642342874114,0.0309700168691381,30.317399229190396,48.76705509390896,2.4575909110741456,2.4575909110741456,True,34.840805181129944,7.306188691204928,0.0593430497568898,0.0010296402551607,0.0003266206133374,-0.0027542156484844,-1,,0,biogas_training_data.csv
45,0.2017465313241539,0.4045232069434922,0.1153359800788058,0.1382343873745885,0.1053558705566363,0.0348040237223231,40.575018079315896,38.67560756635982,3.592286412984788,3.592286412984788,True,52.22415918439342,7.351661032742512,0.0474634479706231,0.0020116231195561,0.0002607200144436,-0.003461607787235,-1,,0,biogas_training_data.csv
46,0.1062979615521327,0.2818524389363722,0.0716800171167629,0.4338171735757085,0.0958897187459653,0.0104626900730584,33.98723004287577,20.88966247380636,6.674930777618149,6.674930777618149,True,93.25023899248448,7.278496632484781,0.1206043191602143,0.0014717542931948,-8.21684223293651e-05,-0.0032369658202617,-1,,0,biogas_training_data.csv
47,0.292599322998688,0.1603434420875102,0.0227466663536522,0.5226405249673127,0.0014844674869981,0.0001855761058386,26.927819243069987,46.10409586175366,2.649785335151337,2.649785335151337,True,48.1215781888931,7.342409874906891,0.1574526901188375,0.0011940570326238,0.0013707335257689,-0.0014055123703704,-1,,0,biogas_training_data.csv
48,0.1286086110206088,0.1081658848705807,0.1049447790028035,0.5170189964890173,0.0550411599900032,0.0862205686269862,34.11552579667222,18.09453459180921,7.136295902549672,7.136295902549672,True,101.89813726649432,7.311872788840249,0.2369980013293273,0.0019784005109804,0.0001800977064357,-0.0023601624861448,-1,,0,biogas_training_data.csv
49,0.1620636235740769,0.0613038475562574,0.1582670791041985,0.0518653716758379,0.1396254925194301,0.4268745855701989,31.11913248301305,33.16878275767584,3.5230967637161723,3.5230967637161723,True,48.59942268077332,7.322258139176459,0.1760310243910228,0.0017673017020131,0.0011398129651133,-0.0026298005187197,-1,,0,biogas_training_data.csv
50,0.2176944639287666,0.4832921739626686,0.0668321410423587,0.0309412544610195,0.0557983040628196,0.1454416625423668,28.535455658784635,44.26457136369502,3.017107228836902,3.017107228836902,True,40.48772871188906,7.242128636352032,0.0620533392036338,0.0007623778014259,8.314152186258763e-05,-0.003751663597862,-1,,0,biogas_training_data.csv
51,0.0494346432985931,0.0765725455102719,0.1445619923145519,0.4871392055650899,0.0184457291370432,0.2238458841744499,40.1703905967042,38.77851823803747,3.2957421465782706,3.2957421465782706,True,62.32222648407352,7.46670544006168,0.191514420571613,0.0046540023243954,0.0046133106924739,-0.0010001984110136,-1,,0,biogas_training_data.csv
52,0.4269467472351851,0.0201252368812093,0.4490031345069356,0.05285685429907,0.0048835340472789,0.0461844930303208,33.64186079550208,35.092353628097726,3.4854858774497752,3.4854858774497752,True,43.70980499943419,7.265881103081365,0.0574585494495432,0.0011168432192316,0.0001241396562651,-0.0040251088874681,-1,,0,biogas_training_data.csv
53,0.2984901555073335,0.293067868956231,0.0182712765893068,0.1179970412585958,0.2393719174218665,0.0328017402666662,36.68195937825471,35.9938640621928,3.56042190103544,3.56042190103544,True,49.66772213542912,7.329064128599374,0.0592440968179435,0.0016390778582184,0.0002747539003094,-0.0033030539299761,-1,,0,biogas_training_data.csv
