idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label
69,0.27610295417300884,0.08761304468961219,0.2222048679186777,0.07644683049072976,0.13322084751412513,0.2044114552138464,29.5031663797757,39.03508762655682,3.784781844042618,True,64.75779726088427,7.018294574796638,1.2599023034004058,0.04486426849683274,0.05930589224559761,0.008607028974665303,-1,,0
70,0.39518347036049717,0.11712661476436051,0.13177063687871612,0.0472772183782116,0.061262611171956076,0.24737944844625853,38.56511006745048,25.363073022672943,5.064042265683462,True,20.273491594298953,6.6629422227398525,2.5409504279281054,0.048772154164294874,0.026113865536128704,-0.03367583311965516,-1,,1
71,0.20223338671090346,0.035482724768911074,0.1583293247096564,0.3996245013552366,0.029270824295494605,0.1750592381597978,42.832426462603024,14.898272653043122,3.171222902711646,True,162.02950629640574,7.257369045982919,1.164387751657262,0.058181628688550556,-0.027838247569946198,0.013366726310198633,-1,,0
72,0.13552191121307983,0.07297066039074208,0.16241232136130856,0.31167266482788103,0.021360457868343657,0.29606198433864495,30.84814379422493,42.780195261322895,6.954589669137807,True,0.09164753965010469,5.669957823530957,5.631400999783436,0.04479651695619162,0.045013680604827966,-0.013193106050504853,-1,,2
73,0.6834860718516735,0.1629104959133955,0.07150516614584897,0.03394431441282812,5.7943692482477004e-05,0.0480960079837715,29.67309962544369,36.38584522773613,5.038555748429388,True,11.092874082987645,6.50574600001014,2.4486083738854205,0.036087218862851135,0.03905204353985341,-0.001974232869241333,-1,,1
74,0.04015382527308617,0.34522010755879323,0.0964287807068201,0.21347280629192644,0.06980037914942748,0.2349241010199466,39.93733171921875,37.89734906946718,5.980139189765291,True,2.9410872139700444,6.286585708104588,3.9268150430246447,0.04829936834311155,0.04859815553723505,-0.019553027716581562,-1,,2
75,0.018231499706192325,0.2136524021047595,0.4444196817004456,0.15011181554076988,0.13512820227834726,0.038456398669485484,26.850373644850865,25.711649488765936,6.702109390918858,True,0.1121713310147796,5.926511346124478,4.87606872785902,0.04241883234895099,0.03375110136714781,0.003296723530589716,-1,,2
76,0.7413415647229356,0.01853712052828062,0.1386614456904363,0.0758624876146444,0.00979159962787039,0.01580578181583256,42.06622759732963,35.882342873009975,3.5668474758521658,True,108.93072516299367,7.074393048031794,1.0632436012053228,0.053190893155373745,0.020159785917688924,-0.007497167070634207,-1,,0
77,0.4505797960126635,0.10648935473308294,0.006099621657130204,0.0010597475844564572,0.41529167050190186,0.02047980951076517,38.04281465120065,28.445961468802462,1.0700556148890423,True,27.255366867311576,7.208098753625705,0.3721839719309728,0.04305623272611696,-0.024398372827378945,-0.009433119018353826,-1,,0
78,0.6364569825490369,0.09371028433563149,0.020493487772062505,0.20779096037400482,0.012353144659978846,0.02919514030928524,44.19455944763121,39.79458789829166,6.117815415396031,True,2.194468586658516,6.135713877661331,4.161969570344658,0.05903303313619601,0.010733334673956488,-0.008409464249503965,-1,,2
79,0.3005456214172345,0.040060661142802136,0.09301570367210374,0.48826316101270023,0.06897244259601097,0.009142410159148366,31.179604932346773,21.26750821042609,5.533545953529641,True,4.646360492869859,6.358721676653171,4.002372860339737,0.041148755759754484,0.047943705863119704,-0.003644284223482403,-1,,2
80,0.4698373566820306,0.15435007985521734,0.22206450906498076,0.10030155875992618,0.0531530332121089,0.00029346242573627325,42.023757363739826,34.983386815021575,6.943823773377904,True,0.1585693170905073,5.742197249808752,4.896515691053924,0.0606986834298553,0.061750158930633854,-0.02120910901689407,-1,,2
81,0.27595326888078214,0.18078919031024343,0.007752050725672616,0.383809245966994,0.042156777315835565,0.10953946680047222,29.733860064155092,12.52101432209094,2.14466578701931,True,38.298030327791324,7.233690206216754,0.5920906724323098,0.04009372142505825,-0.020108854978964044,0.004174117281438917,-1,,0
82,0.11626543673404975,0.21030467055953073,0.24131729891750248,0.11598043530703916,0.04512973578414333,0.2710024226977346,31.437017659877,10.979989570130613,6.326006529582013,True,0.4193826116204951,6.103312587078817,4.238132838568149,0.037941131991058794,0.12290749294791936,-0.03306293214943103,-1,,2
83,0.5813446114793643,0.06271262546080372,0.15871604987367435,0.047631735499541895,0.13462386447459931,0.014971113212016331,32.673226206693066,28.531454882757288,6.737929010617655,True,0.1414749522513125,5.976582897379384,4.677938938649353,0.03814634079049193,0.034145306018915474,-0.042741264766307074,-1,,2
84,0.6265111152740949,0.1664612089339465,0.06142234072897543,0.10556625405560595,0.03944666460749504,0.0005924163998822366,42.92938545853093,44.195044777246366,4.774187841078976,True,63.213912425607056,6.767725281556501,2.2883892435685884,0.05305534114792435,0.07731827089204407,-0.006297007503746083,-1,,1
85,0.10076916201942761,0.23325752042231204,0.17154040326512518,0.3427724518230865,0.019495572506759987,0.13216488996328868,28.95178874826246,41.81038624741929,4.079119007739868,True,65.85691525504889,7.021785396304041,2.056800137395245,0.038387282318934735,0.03138615396977853,-0.006540198478119164,-1,,1
86,0.5067743044255503,0.29435482549705866,0.15223519308312577,0.042727910082693776,0.002575678405102949,0.001332088506468538,39.962053473558825,41.02198189002545,1.773171929643914,True,55.7727917552282,7.106611231963416,0.2900491303249294,0.04682821891299994,-0.006901236452834554,0.013416587204567261,-1,,0
87,0.11352045487999163,0.04737346978648461,0.3741536114164559,0.27179826820638986,0.06731331679424858,0.12584087891642937,39.439350261291835,12.73800316689849,6.676902008844119,True,0.27363113481919143,5.953976480558371,4.988083516691732,0.05072913813075849,0.049111637334598134,-0.023365041851039353,-1,,2
88,0.4707237630028376,0.21475281325686157,0.2554430241213059,0.005865552152570419,0.05215812346573213,0.0010567240006923548,30.874409580719718,31.49986083892983,3.149198611735965,True,48.390003451765246,7.21536820024082,0.7393887299375517,0.03149984339886366,-0.014211909569564545,0.02176320023214294,-1,,0
89,0.09604863078282899,0.3569302564593072,0.3355222814614474,0.16896334141481606,2.4641703427083973e-05,0.042510848178173265,32.728472539692376,27.970672386680548,6.044314858352798,True,1.2323522806310756,6.176758237408577,3.862144339888424,0.041145136081128825,0.018828638693062533,-0.017102287514227144,-1,,2
90,0.4480535786339853,0.26603907429411283,0.057384970199477844,0.17540925997262113,0.00863535430920035,0.04447776259060243,41.7738807251121,20.197856562752726,1.556956331076135,True,51.445426487713036,7.321865443732013,0.46751918774205475,0.05170300830089396,0.023492246263892583,-0.014659034168620872,-1,,0
